>> Starting the game...
>> MAC Adress: 54-2A-A2-90-3F-F3
>> true
>> Initializing the key listener
>> Initializing the controller listener
>> Initializing the mouse listener
>> Game started in 808 ms.
>> Mouse state: 1402 851 -1
>> Mouse state: 1377 845 -1
>> Mouse state: 1353 839 -1
>> Mouse state: 1332 836 -1
>> Mouse state: 1313 833 -1
>> Mouse state: 1309 832 -1
>> Mouse state: 1297 829 -1
>> Mouse state: 1284 826 -1
>> Mouse state: 1282 825 -1
>> Mouse state: 1273 821 -1
>> Mouse state: 1267 817 -1
>> Mouse state: 1264 813 -1
>> Mouse state: 1262 810 -1
>> Mouse state: 1262 807 -1
>> Mouse state: 1263 804 -1
>> Mouse state: 1264 802 -1
>> Mouse state: 1265 802 -1
>> Mouse state: 1267 804 -1
>> Mouse state: 1271 806 -1
>> Mouse state: 1275 811 -1
>> Mouse state: 1280 816 -1
>> Mouse state: 1285 822 -1
>> Mouse state: 1290 828 -1
>> Mouse state: 1296 835 -1
>> Mouse state: 1300 841 -1
>> Mouse state: 1302 847 -1
>> Mouse state: 1304 853 -1
>> Mouse state: 1305 854 -1
>> Mouse state: 1306 858 -1
>> Mouse state: 1307 863 -1
>> Mouse state: 1307 868 -1
>> Mouse state: 1307 871 -1
>> Mouse state: 1306 874 -1
>> Mouse state: 1305 876 -1
>> Mouse state: 1305 878 -1
>> Mouse state: 1304 879 -1
>> Mouse state: 951 872 -1
>> Mouse state: 952 863 -1
>> Mouse state: 956 855 -1
>> Mouse state: 962 848 -1
>> Mouse state: 970 842 -1
>> Mouse state: 979 838 -1
>> Mouse state: 992 834 -1
>> Mouse state: 1005 831 -1
>> Mouse state: 1014 830 -1
>> Mouse state: 1033 829 -1
>> Mouse state: 1048 829 -1
>> Mouse state: 1064 829 -1
>> Mouse state: 1080 830 -1
>> Mouse state: 1102 832 -1
>> Mouse state: 1119 834 -1
>> Mouse state: 1136 836 -1
>> Mouse state: 1152 839 -1
>> Mouse state: 1168 841 -1
>> Mouse state: 1183 844 -1
>> Mouse state: 1202 849 -1
>> Mouse state: 1216 852 -1
>> Mouse state: 1229 856 -1
>> Mouse state: 1242 859 -1
>> Mouse state: 1258 863 -1
>> Mouse state: 1270 865 -1
>> Mouse state: 1281 868 -1
>> Mouse state: 1291 870 -1
>> Mouse state: 1300 871 -1
>> Mouse state: 1307 872 -1
>> Mouse state: 1314 873 -1
>> Mouse state: 1318 873 -1
>> Mouse state: 1321 873 -1
>> Mouse state: 1322 873 -1
>> Mouse state: 1323 873 -1
>> Mouse state: 1325 873 -1
>> Mouse state: 1327 873 -1
>> Mouse state: 1331 873 -1
>> Mouse state: 1334 873 -1
>> Mouse state: 1340 873 -1
>> Mouse state: 1344 873 -1
>> Mouse state: 1349 873 -1
>> Mouse state: 1355 874 -1
>> Mouse state: 1360 875 -1
>> Mouse state: 1363 875 -1
>> Mouse state: 1367 876 -1
>> Mouse state: 1370 877 -1
>> Mouse state: 1373 877 -1
>> Mouse state: 1376 878 -1
>> Mouse state: 1379 878 -1
>> Mouse state: 1381 879 -1
>> Mouse state: 1382 879 -1
>> Mouse state: 1384 879 -1
>> Mouse state: 1385 879 -1
>> Mouse state: 1386 879 -1
>> Mouse state: 1152 875 -1
>> Mouse state: 1175 867 -1
>> Mouse state: 1205 857 -1
>> Mouse state: 1228 850 -1
>> Mouse state: 1245 846 -1
>> Mouse state: 1273 840 -1
>> Mouse state: 1293 837 -1
>> Mouse state: 1312 834 -1
>> Mouse state: 1328 833 -1
>> Mouse state: 1346 832 -1
>> Mouse state: 1358 833 -1
>> Mouse state: 1368 834 -1
>> Mouse state: 1376 835 -1
>> Mouse state: 1382 837 -1
>> Mouse state: 1388 840 -1
>> Mouse state: 1391 843 -1
>> Mouse state: 1393 846 -1
>> Mouse state: 1395 849 -1
>> Mouse state: 1397 852 -1
>> Mouse state: 1399 854 -1
>> Mouse state: 1401 856 -1
>> Mouse state: 1402 858 -1
>> Mouse state: 1403 860 -1
>> Mouse state: 1404 861 -1
>> Mouse state: 1404 863 -1
>> Mouse state: 1404 864 -1
>> Mouse state: 1404 866 -1
>> Mouse state: 1403 868 -1
>> Mouse state: 1402 869 -1
>> Mouse state: 1401 871 -1
>> Mouse state: 1400 873 -1
>> Mouse state: 1399 874 -1
>> Mouse state: 1398 876 -1
>> Mouse state: 1397 877 -1
>> Mouse state: 1397 878 -1
>> Mouse state: 1396 879 -1
>> Mouse listener closed.
>> Stopping the game...
>> Game stopped in 0 ms.
