>> Starting the game...
>> MAC Adress: 54-2A-A2-90-3F-F3
>> true
>> Initializing the key listener
>> Initializing the key listener
>> Game started in 757 ms.
>> Mouse state: 710 432 -1
>> Mouse state: 709 432 -1
>> Mouse state: 709 431 -1
>> Mouse state: 708 431 -1
>> Mouse state: 707 430 -1
>> Mouse state: 707 431 -1
>> Mouse state: 706 432 -1
>> Mouse state: 703 434 -1
>> Mouse state: 699 437 -1
>> Mouse state: 695 440 -1
>> Mouse state: 690 444 -1
>> Mouse state: 684 448 -1
>> Mouse state: 678 453 -1
>> Mouse state: 669 458 -1
>> Mouse state: 661 462 -1
>> Mouse state: 654 466 -1
>> Mouse state: 647 469 -1
>> Mouse state: 640 472 -1
>> Mouse state: 633 475 -1
>> Mouse state: 623 479 -1
>> Mouse state: 614 481 -1
>> Mouse state: 602 484 -1
>> Mouse state: 589 487 -1
>> Mouse state: 585 487 -1
>> Mouse state: 573 490 -1
>> Mouse state: 569 490 -1
>> Mouse state: 555 493 -1
>> Mouse state: 550 494 -1
>> Mouse state: 530 498 -1
>> Mouse state: 509 501 -1
>> Mouse state: 487 505 -1
>> Mouse state: 461 509 -1
>> Mouse state: 440 512 -1
>> Mouse state: 420 514 -1
>> Mouse state: 402 516 -1
>> Mouse state: 383 517 -1
>> Mouse state: 366 518 -1
>> Mouse state: 346 519 -1
>> Mouse state: 331 521 -1
>> Mouse state: 321 522 -1
>> Mouse state: 308 525 -1
>> Mouse state: 301 527 -1
>> Mouse state: 295 530 -1
>> Mouse state: 291 534 -1
>> Mouse state: 290 537 -1
>> Mouse state: 289 541 -1
>> Mouse state: 290 548 -1
>> Mouse state: 291 554 -1
>> Mouse state: 294 561 -1
>> Mouse state: 297 568 -1
>> Mouse state: 301 576 -1
>> Mouse state: 306 583 -1
>> Mouse state: 312 591 -1
>> Mouse state: 315 595 -1
>> Mouse state: 319 601 -1
>> Mouse state: 324 607 -1
>> Mouse state: 328 611 -1
>> Mouse state: 331 615 -1
>> Mouse state: 335 619 -1
>> Mouse state: 337 622 -1
>> Mouse state: 339 624 -1
>> Mouse state: 342 627 -1
>> Mouse state: 343 629 -1
>> Mouse state: 344 631 -1
>> Mouse state: 345 633 -1
>> Mouse state: 345 634 -1
>> Mouse state: 346 635 -1
>> Mouse state: 346 636 -1
